Sample name,                            
Date analyzed,2026- 5-12 15:49
X,Y,O,Cl,Ni,Pt,Cr,Mn,Fe,Mo,Pd,Ag
mm,mm,mass%,mass%,mass%,mass%,mass%,mass%,mass%,mass%,mass%,mass%
-2.0,2.1,91.7818,2.0816,3.2181,2.9185,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-0.7,2.1,0.0000,0.0000,78.9063,21.0937,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.7,2.1,0.0000,10.8952,89.1048,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.0,2.1,3.9670,0.1320,8.2206,0.0000,17.5235,1.8130,68.0626,0.2812,0.0000,0.0000
-2.0,0.7,92.7018,2.8339,4.4643,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-0.7,0.7,0.0000,0.0000,28.3665,71.6335,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.7,0.7,0.0000,0.5997,31.0137,68.3867,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.0,0.7,14.1581,0.1650,5.9100,0.7006,15.7949,0.0000,56.5383,0.0000,6.7332,0.0000
-2.0,-0.7,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-0.7,-0.7,38.0819,0.0000,19.0747,42.8433,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.7,-0.7,69.0416,0.0000,6.0545,11.2518,0.0000,0.0000,0.0000,0.0000,0.0000,13.6522
2.0,-0.7,0.0000,0.9657,6.0927,7.1279,0.0000,0.0000,0.0000,0.0000,85.8137,0.0000
-2.0,-2.1,0.0000,0.0000,51.9646,48.0354,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-0.7,-2.1,80.7495,0.0000,7.0416,12.2089,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.7,-2.1,89.8839,0.6778,4.4891,4.9492,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.0,-2.1,0.0000,0.7532,2.7610,0.0000,0.0000,0.0000,0.0000,0.0000,96.4858,0.0000
